"date_farmed","source","scraped_url","d","e","f","g","h","i","j","k","l","post_date","n","job_title","p","job_type","description","s","t","salary","v","w_requirements","x_benefits","y","z","aa_state_province","ab_country","ac_region","business_name","ae_description","af_website","ag","ah","ai_country","company_url"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4752570039?title=Principal_Practice_Officer-_Teaching_and_Learning","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Principal Practice Officer- Teaching and Learning","","","","","","","","","","","","MELBOURNE - CBD","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4755461230?title=Technical_Officer_-_Physics_Teaching_Support","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Technical Officer - Physics Teaching Support","","","","","","","","","","","","BOTANY, NEW SOUTH WALES, 1450","Australia","Oceania","UNIVERSITY OF SYDNEY","","","","","","https://www.adzuna.com.au/company/university-of-sydney"
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4745838760?title=Project_Officer_-_Curriculum%2C_Teaching_and_Learning","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Project Officer - Curriculum, Teaching and Learning","","","","","","","","","","","","BRISBANE, STATE OF QUEENSLAND, 4000","Australia","Oceania","QUEENSLAND GOVERNMENT","","","","","","https://www.adzuna.com.au/company/queensland-government"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762485040?title=Learning_Specialist_-_Teaching_and_Learning_%28Prep_to_2%2C_Years_3_and_4%2C_Years_5_and_6%29","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Learning Specialist - Teaching and Learning (Prep to 2, Years 3 and 4, Years 5 and 6)","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4740562009?title=2025_Teaching_Positions_%7C_Sydney_Independent_Schools","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","2025 Teaching Positions | Sydney Independent Schools","","","","","","","","","","","","SYDNEY, NEW SOUTH WALES, 2000","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762006744?title=2024_Teaching_Positions_%7C_Sydney_Independent_Schools","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","2024 Teaching Positions | Sydney Independent Schools","","","","","","","","","","","","SYDNEY, NEW SOUTH WALES, 2000","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4761140325?title=2024_Teaching_Positions_%7C_Sydney_Independent_Schools","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","2024 Teaching Positions | Sydney Independent Schools","","","","","","","","","","","","SYDNEY, NEW SOUTH WALES, 2000","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","","","","","","","","","","","","","","Australia","Oceania","","","","","","",""
"04/07/2024","Adzuna","https://www.adzuna.com.au/details/4762484335?title=Visual_Arts_Teacher_-_Term_3_start_-_4_Day_Teaching_Week_%28Time_Fraction_Negotiable%29","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Visual Arts Teacher - Term 3 start - 4 Day Teaching Week (Time Fraction Negotiable)","","","","","","","","","","","","MELBOURNE, VICTORIA, 3004","Australia","Oceania","VICTORIAN GOVERNMENT","","","","","","https://www.adzuna.com.au/company/victorian-government"
"04/07/2024","Adzuna","https://www.adzuna.com.au/land/ad/4720125255?se=8HHA_aU57xG5LIIHrRbXCA&title=Staff_Specialists_-_Geriatric_Medicine&v=408ABFA3269C25E7F33EE7B7396570CA10BFCF3F","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Jobs","","","","Staff Specialists - Geriatric Medicine","","","","","","","","","","","","NORTHERN NEW SOUTH WALES","Australia","Oceania","","","","","","",""
