"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/bienal-do-livro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 06 - Sun, 15 Sep 2024","Sao Paulo International Book Fair","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/forumbrazilafrica","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 07 - Tue, 08 Oct 2024","Brazil Africa Forum (BAF)","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/tedx-blumenau","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 Aug 2024","Tedx Blumenau","","","","","Blumenau","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/fenasan","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 22 - Thu, 24 Oct 2024","Fenasan","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/capacity-latam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 11 - Wed, 12 Mar 2025","Capacity LATAM","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d1-3d20-xxzg-p","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 10 - Thu, 12 Sep 2024","World Hospital Congress","","","","","Rio de Janeiro","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x4-61z1-hfgp","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 10 - Fri, 12 Jul 2024","HoMER Netwok Conference","","","","","Rio de Janeiro","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d0-342h-dskg-r","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 13 - Wed, 14 Aug 2024","15th Degree Brasil Agrochemshow","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/devopsdays-rio-de-janeiro","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 17 Aug 2024","Devopsdays Rio De Janeiro","","","","","Rio de Janeiro","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x1-7s3r-6gfk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 14 Aug 2024","Infrastructure GRI Infra Bonds","","","","","São Paulo","Brazil","South America","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","Brazil","South America","","","","","","","","","","","",""
