"a_date_farmed","b_source","c_scraped_url","d","e","f","g","h","i","j","k","l","m_date_of_event","n_event_name","o_description","p","q","r","s_state_province","t","u","v","w","x","y","z","aa","ab_business_info","ac_website","ad","ae","af_country","ag"
"12/07/2024","10Times","https://10times.com/icramnh-varanasi","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","Varanasi","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icramnh-tirupati","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Mon, 15 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","Tirupati","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e121-szpd-z2d7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 17 - Sun, 18 Sep 2022","Premier Schools Exhibition - Gurugram (IIPSE - GURUGRAM)","","","","","Gurgaon","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icramnh-ernakulam","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 14 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","Kochi","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/abhayaranya-rishikesh-yogpeeth","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 21 Jul - Sat, 10 Aug 2024","200 Hour Yoga Teacher Training in Rishikesh, India","","","","","Rishikesh","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1rg-303k-r3sk","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 02 - Sat, 03 Aug 2024","International Conference on Education, Business, Humanities and Social Sciences","","","","","Surat","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/eduworldindia-mumbai","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 26 Nov 2024","Education Worldwide India Education Fairs Mumbai","","","","","Mumbai","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e11x-rdk2-h4x4","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 01 - Sat, 03 Aug 2024","International Conference on Psychology Learning and Teaching","","","","","Bengaluru","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e15k-f1df-2sf8","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 10 Aug 2024","Global Hospitality Education Expo","","","","","New Delhi","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/pranayama-teacher-training","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 - Tue, 30 Jul 2024","100 Hour Pranayama Teacher Training","","","","","Rishikesh","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/iclice-india","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 Jul 2024","International Conference on Language, Innovation, Culture, and Education (ICLICE)","","","","","Haridwar","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icramnh-indore","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Fri, 26 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","Nagpur","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/ficci-education-summit","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 24 - Fri, 25 Oct 2024","FICCI Higher Education Summit","","","","","New Delhi","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/yoga-alliance-teacher-training-in-india","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 02 - Thu, 25 Jul 2024","200 Hour Yoga Teacher Training in India","","","","","Rishikesh","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1k0-f4d2-f6ss","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 25 Sep 2024","Global Art & Design Education Expo","","","","","Pune","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kf-d48f-p42x","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 11 Aug 2024","Global Hospitality Education Expo","","","","","Bengaluru","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/eduworldindia-delhi","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sun, 24 Nov 2024","Education Worldwide India Education Fairs - Fall","","","","","New Delhi","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/icramnh-kota","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Wed, 31 Jul 2024","International Conference on Recent advancement in Medical Education, Nursing, and Health Sciences (ICRAMNH)...","","","","","Kota","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1x0-f8f1-g4gf","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 20 Jul 2024","International Education Fair - Ahmedabad (IEF Ahmedabad)","","","","","Ahmedabad","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1d3-h2d1-k7zf-d","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 18 - Fri, 19 Jul 2024","Education Leaders Conclave & Awards (ELCA)","","","","","Hyderabad","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e114-ddxr-d4kd-7","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Thu, 25 - Fri, 26 Jul 2024","Educator Renewal for Student Achievement Institute","","","","","Kharagpur","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/e1kp-r29d-x5r2","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Tue, 16 Jul 2024","International Education Fair - Chandigarh (IEF - Chandigarh)","","","","","Chandigarh","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","https://10times.com/next-generation-school-exhibition","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","Sat, 19 - Sun, 20 Oct 2024","School Admission Expo (Bangalore Admission Fair)","","","","","Bengaluru","India","South Asia","","","","","","","","","","","",""
"12/07/2024","10Times","","New Lead","Opportunity","Juan","Juan","Lara","Scraping","EDU Business","EDU Events","","","","","","","","","India","South Asia","","","","","","","","","","","",""
